RE029 ,HAMBURGUESA DE RES,1,lacteos.png
REM003,CUARTO DE RES,2,
REM002,MEDIA DE RES,3,
REM005,PI��AS DE RES,4,
REM001,RES,5,
REM010,CA��A DE FILETE ANGUS,6,
REM009,ENTRECOT DE RES ANGUS,7,
RE128 ,AHUJA DE RES,8,
RE077 ,ARRACHERA MARINADA ANGUS,9,
RE157 ,CORNED BEEF,10,
RE144 ,RIB EYE ANGUS / SELECT,11,
RE129 ,RIB EYE IMPORTADO,12,
REM006,ASADO DE RES,13,
RE003 ,ARRACHERA EN LONJA,14,
RE107 ,DISPONIBLE,15,
RE054 ,ROAST BEEF,16,
RC007 ,ESPALDILLA DE CARNERO,17,
REM013,CONTRA DE RES,18,
RE134 ,VACIO NACIONAL,19,
RE002 ,AHUJA CARGADA,20,
RT010 ,ASADOS DE TERNERA,21,
RT011 ,BOLA DE TERNERA,22,
RT041 ,OSSOBUCOS,23,
RO001 ,RACK DE CORDERO,24,
RO002 ,PECHO CORDERO,25,
RO003 ,PIERNA CORDERO SIN HUESO,26,
RA001 ,CABRITO,27,
RE033 ,RECORTE DE RES,28,
RE025 ,FILETE DE RES ANGUS,29,
REM007,FILETE DE RES SEMI-LIMPIO,30,
RE059 ,SUADERO,31,
RE137 ,AGUAYON,32,
RE001 ,AGUAYON EN CUBOS,33,
RE004 ,ARRACHERA MARINADA,34,
RE005 ,ASADO DE TIRA,35,
RB005 ,BARBACOA,36,
RE147 ,BIFE ANGUS(NEW YORK),37,
RE074 ,BISTECK DE GOOSENECK,38,
RE006 ,BISTECK DE RES,39,
RE007 ,BRISKET,40,
RE008 ,BROCHETAS DE RES,41,
RT004 ,CA��A DE TERNERA,42,
RB001 ,CARNE DE BORREGO,43,
RC006 ,CARNERO EN CANAL,44,
RC068 ,CARNERO EN TROZO,45,
RE011 ,CHAMBARETE C/HUESO,46,
RE012 ,CHAMBARETE S/HUESO,47,
RE117 ,CHURRASCO/ TOP SIRLON,48,
REM008,COPETE DE RES,49,
RE014 ,COSTILLA DE RES C/HUESO,50,
RE071 ,COSTILLA DE RES S/HUESO,51,
RE065 ,COW BOY IMPORTADO,52,
RE018 ,CUETE MECHADO,53,
RE009 ,ESPALDILLA DE CORDERO,54,
RE015 ,LIBRO DE RES,55,
RE016 ,CALLO DE RES,56,
EM048 ,PIERNA ESPA��OLA MONTA��ESA,57,
EM014 ,QUESO DE PUERCO,58,
EM030 ,QUESO DE PUERCO MURGATI,59,
EML002,RECORTE DE CERDO,60,
EML001,RECORTE DE JAMON (TAPAS),61,
EML004,SAL,62,
EM015 ,SALAMI,63,
EM024 ,SALAMI COCIDO MURGATI,64,
EM016 ,SALAMI MILANO,65,
EM041 ,SALCHICHA BUTIFARRA,66,
EM017 ,SALCHICHA COCTEL,67,
EM032 ,SALCHICHA DE PAVO,68,
EM026 ,SALCHICHA DE PAVO MURGATI,69,
EM018 ,DISPONIBLE,70,
EM019 ,SALCHICHA JUMBO,71,
EM020 ,SALCHICHA KIR,72,
EM054 ,SALCHICHA SAN RAFAEL P/HOTDOG,73,
EM036 ,SALCHICHA SWAN,74,
EM021 ,SALCHICHA VIENA,75,
EM027 ,SALCHICHA VIENA MURGATI,76,
EML003,SOYA,77,
EM043 ,TOCINO AHUMADO REBANADO,78,
EM047 ,TOCINO DE PAVO REBANADO,79,
EM049 ,TOCINO REBANADO SAN ANGEL,80,
EML012,VINAGRE,81,
MA001 ,ALMEJA SHIRLA,82,
MA002 ,BACALAO DESMENUZADO,83,
MA003 ,BACALAO EN LONJA,84,
MA004 ,CABEZA DE PESCADO,85,
MA005 ,CALAMAR LIMPIO PRECOCIDO,86,
MA006 ,CAMARON 16/20,87,
MA007 ,CAMARON PACOTILLA,88,
MA008 ,CAMARON SECO,89,
MA009 ,CEVICHE DE PESCADO,90,
MA010 ,FILETE BASSA 3-5,91,
MA011 ,FILETE DE CALAMAR COCIDO,92,
MA012 ,FILETE DE CALAMAR FRESCO,93,
MA013 ,FILETE DE HUACHINANGO,94,
MA014 ,FILETE DE PESCADO,95,
MA015 ,FILETE DE ROBALO,96,
MA016 ,FILETE DE SIERRA,97,
MA017 ,JAIBA,98,
MA018 ,LONJA DE MERO,99,
MA019 ,LONJA DE SALMON AHUMADO,100,
MA020 ,LONJA DE SALMON FRESCO,101,
MA021 ,MOJARRA,102,
MA022 ,SIERRA PARA SEVICHE,103,
MA023 ,SOPA DE MARISCOS,104,
MA024 ,TENTACULO DE CALAMAR COCIDO,105,
MA025 ,TINTA DE CALAMAR,106,
MA026 ,SURIMI,107,
MA027 ,FILETE DE MERO,108,
MA028 ,HUACHINANGO ENTERO,109,
MA029 ,MASAGO,110,
MA030 ,TROZOS DE PESCADO P/CEVICHE,111,
MA031 ,CAMARON ACAMAYA,112,
MA032 ,CAMARON 7/14,113,
MA033 ,ROBALO,114,
MA034 ,PULPO BABY,115,
MA035 ,FILETE NEGRILLO,116,
MA036 ,FILETE TILAPIA,117,
MA037 ,RECORTE DE PESCADO P/CEVICHE,118,
MA038 ,CAMARON CON CABEZA 16-20,119,
MA039 ,MANTO DE CALAMAR,120,
MA040 ,PESCADO SIERRA,121,
MA041 ,POLVO DE CAMARON,122,
MA042 ,RECORTE DE BASA,123,
MA043 ,LONJA DE ATUN,124,
MA044 ,PULPO CRUDO,125,
MA045 ,FILETE PETO,126,
MA046 ,PULPO PICADO,127,
MA047 ,CAMARON CRISTAL,128,
MA048 ,FILETE DE CAZON FRESCO,129,
MA049 ,CAMARON SIN CABEZA,130,
MA050 ,CAMARON U-12 CON CABEZA,131,
MA051 ,MARLIN,132,
MA052 ,ALMEJA CHOCOLATA CHICA VIGA,133,
MA053 ,ALMEJA CHOCOLATA JUMBO BC,134,
MA054 ,ALMEJA PORTUGUESA,135,
MA055 ,AROS DE CALAMAR,136,
MA056 ,CALAMAR SEPPIA,137,
MA057 ,CALLO DE ALMEJA CATARINA,138,
MA058 ,CALLO DE HACHA,139,
MA059 ,CAMARON 26-30,140,
MA060 ,CAMARON 31-35,141,
MA061 ,CAMARON 41-50,142,
MA062 ,CAMARON GRANDE A GRANEL FRESCO,143,
MA063 ,CAMARON U-15,144,
MA064 ,COLA DE LANGOSTA,145,
MA065 ,KING CRAB -12,146,
MA066 ,OSTION A GRANEL,147,
MA067 ,OSTION DE CULTIVO MADIANO BC,148,
MA068 ,OSTION EN BOLSA,149,
MA069 ,PULPA DE JAIBA,150,
MA070 ,PULPO 2-4,151,
MA071 ,PULPO 4-6,152,
MA072 ,TINTA DE CALAMAR,153,
MA073 ,ATUN ALETA AMARILLA LOMO FRESCO,154,
